Code UAI de l'établissement,Établissement,"Statut de l’établissement de la filière de formation (public, privé…)",Département de l’établissement,Région de l’établissement,Commune de l’établissement,Coordonnées GPS de la formation,Filière de formation,Filière de formation très agrégée,Filière de formation détaillée bis,Capacité de l’établissement par formation,Effectif total des candidats en phase principale,Rang du dernier appelé du groupe 1,f_ratio_candidats,f_ratio_admis,f_selectivity_candidats,b_ratio_candidats,b_ratio_admis,b_selectivity_candidats,gen_candidats_ratio,tech_candidats_ratio,prof_candidats_ratio,gen_admis_ratio,tech_admis_ratio,prof_admis_ratio,gen_selectivity_candidats,tech_selectivity_candidats,prof_selectivity_candidats,sans_mention_ratio,assez_bien_mention_ratio,bien_mention_ratio,tres_bien_mention_ratio,tres_bien_avec_felicitation_mention_ratio,meme_academie_ratio,meme_etablissement_ratio,last_call_rank_ratio,pressure_ratio,taux_acces_ratio,longitude,latitude,cluster
0910627M,Lycée Jean Baptiste Corot,Public,Essonne,Ile-de-France,Savigny-sur-Orge,"48.6745, 2.35419",CPGE - PCSI,CPGE,PCSI,-0.0434782608695652,-0.0322986577181208,0.0189830508474576,-0.2188573917898967,-0.0540540540540541,0.0209470227904685,0.3773190378635699,0.0769230769230768,-0.026157082706337,-0.3375782126250599,0.5686912107867297,3.406007392713516,0.0,0.0,0.0,-0.6431217098754852,0.0,0.0,0.0,-0.3999999999999999,1.2427184466019416,-0.0857142857142857,0.0,0.6578947368421053,0.3137254901960785,-0.0975113661279388,0.0326457426516162,-0.23,0.1919202423788639,-0.002420430567046,0
0931585T,Lycée Andre Boulloche,Public,Seine-Saint-Denis,Ile-de-France,Livry-Gargan,"48.9126, 2.51968",CPGE - ENS Cachan D2,CPGE,ENS Cachan D2,-0.4347826086956521,0.111996644295302,-0.0840677966101695,0.3045522258003364,0.1351351351351351,0.2277651110219207,0.2414750467259591,1.4615384615384617,-1.042529435308016,-1.0101915113569482,7.196742265861404,0.0,-0.0699999999999999,0.07,0.0,-1.5602388836286678,-0.5563442768411713,0.0,4.125,1.0333333333333332,-0.932038834951456,-0.6571428571428573,0.0,0.4473684210526317,0.5490196078431373,-0.4329028733847396,-0.3200326480154186,0.47,0.2579504565402768,0.0466073606863714,0
0130053M,Lycée Jean Perrin,Public,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Marseille 10e  Arrondissement,"43.2746, 5.42654","CPGE - ECT - Option technologique - (en 3 ans, destinée aux bacs professionnels)",CPGE,ECT - Option technologique,-0.782608695652174,-0.7663590604026845,-0.8813559322033898,0.4925148412415261,0.1621621621621621,0.3741290262438135,8.692929630394074,1.846153846153846,1.186009258007597,-1.7529821709252271,-0.4645852064168748,1565.3797101449277,-1.0,0.0,1.0,0.0,0.0,-0.0374999999999999,0.625,-0.4666666666666666,1.1262135922330097,-0.0857142857142857,0.0,-0.263157894736842,-0.4705882352941176,-0.1356627255647447,6.876700979120037,0.1299999999999999,-1.3055873319605944,0.9077888537246708,0
0141164P,Lycée Sainte-Marie,Privé sous contrat d'association,Calvados,Normandie,Caen,"49.1891, -0.35573",CPGE - MPSI,CPGE,MPSI,-0.391304347826087,-0.2076342281879194,-0.1464406779661017,-0.5033136241146494,-0.5405405405405406,1.5005921761361365,-0.8057459911944823,0.6153846153846154,-1.2205454244397114,-0.9179693829053448,-0.1338952002407883,0.0,0.0,0.0,0.0,-1.5062366398944889,0.0,0.0,0.75,1.4333333333333331,-0.3883495145631067,-0.6571428571428573,0.0,-0.0263157894736842,0.0,0.0256484111301798,0.0839379700101995,0.47,0.3346298106588469,-0.8052568078312928,0
0170028N,Lycée Jean Dautet,Public,Charente-Maritime,Nouvelle Aquitaine,La Rochelle,"46.1648, -1.15397",CPGE - MPSI,CPGE,MPSI,0.1304347826086956,0.5004194630872483,0.9166101694915254,-0.6378686571694705,-0.6756756756756757,2.394312934301108,0.0461311006030873,0.4615384615384616,-0.6898711776791987,0.2476941049660384,-0.154277351564849,0.0,0.0,0.0,0.0,0.2272521023169853,0.0,0.0,0.0,-0.1999999999999999,0.5436893203883497,0.2571428571428572,0.0,-0.263157894736842,0.2352941176470588,0.1615750985325754,-0.3403990419198609,-0.35,-0.5040731573729355,-1.041742058239944,0
0690521S,Lycée Sainte - Marie Lyon,Privé sous contrat d'association,Rhône,Auvergne-Rhône-Alpes,Lyon 5e  Arrondissement,"45.76437, 4.82673",CPGE - ECG,CPGE,ECG - Mathématiques approfondies + ESH,-1.0869565217391304,0.3494127516778523,-0.7267796610169491,0.0163107291449784,0.4324324324324325,-0.533693896489197,-0.8028471717299615,-0.8461538461538461,0.4402809852686186,0.5659625461937181,-0.4645852064168748,0.0,0.0,0.0,0.0,0.7005574478218555,0.0,0.0,0.0,-0.6333333333333332,-1.3980582524271843,1.5428571428571431,4.5,-1.368421052631579,-0.4705882352941176,-1.3213544076115946,-0.7162540682437819,-1.0900000000000003,-0.6151209467751008,0.7300901440037684,1
0753933T,Lycée Saint-Louis De Gonzague,Privé sous contrat d'association,Paris,Ile-de-France,Paris 16e  Arrondissement,"48.85951, 2.2853",CPGE - ECG,CPGE,ECG - Mathématiques appliquées + ESH,-0.217391304347826,1.0943791946308723,-0.4122033898305084,0.2821789039392882,0.6216216216216216,-0.525890929576471,-0.6193435740346434,-0.4615384615384615,0.3330622640706386,0.585936626861752,-0.1425294040573963,0.0,0.0,0.0,0.0,0.7302614270013774,0.0,0.0,0.0,-0.6333333333333332,-1.048543689320388,1.6000000000000003,1.7500000000000002,-1.026315789473684,0.0784313725490196,-1.2523909162380118,-0.6405854982332333,-1.0700000000000005,0.2432274659068053,-0.022829667013042,0
0800009A,Lycée Louis Thuillier,Public,Somme,Hauts-de-France,Amiens,"49.8758, 2.29689",CPGE - MPSI,CPGE,MPSI,0.1304347826086956,0.05998322147651,0.7538983050847458,-0.7249028795823359,-0.4054054054054055,0.2590894132182095,0.6380346652807891,0.5384615384615384,-0.4278291938885558,0.1912934067423561,-0.2329469485695879,0.0,0.0,0.0,0.0,0.1433771448863827,0.0,0.0,0.375,-0.0333333333333333,0.3495145631067962,0.0857142857142857,0.75,-0.1052631578947366,0.1568627450980392,0.791939857957183,0.0090935493295715,-0.0900000000000001,0.5250663837988857,-0.0193960329528144,0
0440021J,Lycée général Clemenceau,Public,Loire-Atlantique,Pays-de-la-Loire,Nantes,"47.2189, -1.5448",CPGE - ECG -  - Mathématiques approfondies + HGG,CPGE,ECG - Mathématiques approfondies + HGG,0.1304347826086956,-0.2328020134228187,0.2983050847457627,-0.181926262838331,0.2162162162162161,-0.4364054191830606,-0.5877602041949536,-0.5384615384615385,0.903965659882296,0.2242890957800558,-0.1200394737250304,0.0,0.0,0.0,0.0,0.1924458993626952,0.0,0.0,0.25,-0.3999999999999999,1.203883495145631,-0.0857142857142857,0.0,0.1052631578947369,0.392156862745098,0.9774374400179224,0.5250204815195756,0.1100000000000001,-0.2117487191220023,-1.1575287018774632,0
0440161L,Lycée St Joseph du Loquidy,Privé sous contrat d'association,Loire-Atlantique,Pays-de-la-Loire,Nantes,"47.2369, -1.55764",CPGE - ECG,CPGE,ECG - Mathématiques approfondies + ESH,-0.4782608695652174,-0.484479865771812,-0.3091525423728813,-0.0161577330434224,-0.1081081081081082,0.4350828510558868,-1.076503892065206,0.0,-1.1458256871339,-0.2970095462078287,-0.4645852064168748,0.0,0.0,0.0,0.0,-0.582790982137565,0.0,0.0,2.625,0.2333333333333333,0.233009708737864,-0.5142857142857143,0.0,-0.1842105263157893,-0.0784313725490195,0.7291573210972648,0.8700491049467988,0.6900000000000001,-0.2067569347670863,-1.1613326588518655,0
