Code UAI de l'établissement,Établissement,"Statut de l’établissement de la filière de formation (public, privé…)",Département de l’établissement,Région de l’établissement,Commune de l’établissement,Coordonnées GPS de la formation,Filière de formation,Filière de formation très agrégée,Filière de formation détaillée bis,Capacité de l’établissement par formation,Effectif total des candidats en phase principale,Rang du dernier appelé du groupe 1,f_ratio_candidats,f_ratio_admis,f_selectivity_candidats,b_ratio_candidats,b_ratio_admis,b_selectivity_candidats,gen_candidats_ratio,tech_candidats_ratio,prof_candidats_ratio,gen_admis_ratio,tech_admis_ratio,prof_admis_ratio,gen_selectivity_candidats,tech_selectivity_candidats,prof_selectivity_candidats,sans_mention_ratio,assez_bien_mention_ratio,bien_mention_ratio,tres_bien_mention_ratio,tres_bien_avec_felicitation_mention_ratio,meme_academie_ratio,meme_etablissement_ratio,last_call_rank_ratio,pressure_ratio,taux_acces_ratio,longitude,latitude
0910627M,Lycée Jean Baptiste Corot,Public,Essonne,Ile-de-France,Savigny-sur-Orge,"48.6745, 2.35419",CPGE - PCSI,CPGE,PCSI,-0.043478260869565216,-0.03229865771812081,0.018983050847457626,-0.21885739178989677,-0.054054054054054106,0.020947022790468575,0.37731903786356996,0.07692307692307689,-0.026157082706337004,-0.3375782126250599,0.5686912107867297,3.406007392713516,0.0,0.0,0.0,-0.6431217098754852,0.0,0.0,0.0,-0.3999999999999999,1.2427184466019416,-0.08571428571428572,0.0,0.6578947368421053,0.3137254901960785,-0.09751136612793887,0.032645742651616225,-0.23,0.1919202423788639,-0.002420430567046061
0931585T,Lycée Andre Boulloche,Public,Seine-Saint-Denis,Ile-de-France,Livry-Gargan,"48.9126, 2.51968",CPGE - ENS Cachan D2,CPGE,ENS Cachan D2,-0.43478260869565216,0.11199664429530201,-0.0840677966101695,0.3045522258003364,0.13513513513513511,0.2277651110219207,0.24147504672595912,1.4615384615384615,-1.0425294353080161,-1.0101915113569482,7.1967422658614035,0.0,-0.06999999999999995,0.07,0.0,-1.5602388836286678,-0.5563442768411713,0.0,4.125,1.0333333333333332,-0.9320388349514561,-0.6571428571428573,0.0,0.4473684210526317,0.5490196078431373,-0.4329028733847396,-0.32003264801541864,0.47000000000000003,0.2579504565402768,0.04660736068637141
0130053M,Lycée Jean Perrin,Public,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Marseille 10e  Arrondissement,"43.2746, 5.42654","CPGE - ECT - Option technologique - (en 3 ans, destinée aux bacs professionnels)",CPGE,ECT - Option technologique,-0.782608695652174,-0.7663590604026845,-0.8813559322033898,0.4925148412415261,0.16216216216216217,0.37412902624381356,8.692929630394074,1.846153846153846,1.186009258007597,-1.7529821709252273,-0.46458520641687484,1565.3797101449275,-1.0,0.0,1.0,0.0,0.0,-0.03749999999999998,0.625,-0.4666666666666666,1.1262135922330097,-0.08571428571428572,0.0,-0.26315789473684204,-0.47058823529411764,-0.1356627255647447,6.876700979120037,0.12999999999999992,-1.3055873319605944,0.9077888537246708
0141164P,Lycée Sainte-Marie,Privé sous contrat d'association,Calvados,Normandie,Caen,"49.1891, -0.35573",CPGE - MPSI,CPGE,MPSI,-0.391304347826087,-0.20763422818791946,-0.1464406779661017,-0.5033136241146494,-0.5405405405405406,1.5005921761361365,-0.8057459911944823,0.6153846153846154,-1.2205454244397114,-0.9179693829053448,-0.1338952002407883,0.0,0.0,0.0,0.0,-1.5062366398944889,0.0,0.0,0.75,1.4333333333333331,-0.3883495145631067,-0.6571428571428573,0.0,-0.026315789473684233,0.0,0.02564841113017981,0.08393797001019959,0.47000000000000003,0.33462981065884695,-0.8052568078312928
0170028N,Lycée Jean Dautet,Public,Charente-Maritime,Nouvelle Aquitaine,La Rochelle,"46.1648, -1.15397",CPGE - MPSI,CPGE,MPSI,0.13043478260869565,0.5004194630872483,0.9166101694915254,-0.6378686571694705,-0.6756756756756757,2.394312934301108,0.04613110060308739,0.4615384615384616,-0.6898711776791987,0.24769410496603841,-0.154277351564849,0.0,0.0,0.0,0.0,0.2272521023169853,0.0,0.0,0.0,-0.19999999999999996,0.5436893203883497,0.2571428571428572,0.0,-0.26315789473684204,0.23529411764705882,0.16157509853257548,-0.3403990419198609,-0.35000000000000003,-0.5040731573729355,-1.0417420582399441
0690521S,Lycée Sainte - Marie Lyon,Privé sous contrat d'association,Rhône,Auvergne-Rhône-Alpes,Lyon 5e  Arrondissement,"45.76437, 4.82673",CPGE - ECG,CPGE,ECG - Mathématiques approfondies + ESH,-1.0869565217391304,0.34941275167785235,-0.7267796610169491,0.01631072914497843,0.4324324324324325,-0.533693896489197,-0.8028471717299615,-0.8461538461538461,0.44028098526861864,0.5659625461937181,-0.46458520641687484,0.0,0.0,0.0,0.0,0.7005574478218555,0.0,0.0,0.0,-0.6333333333333332,-1.3980582524271843,1.5428571428571431,4.5,-1.368421052631579,-0.47058823529411764,-1.3213544076115946,-0.7162540682437819,-1.0900000000000003,-0.6151209467751008,0.7300901440037684
0753933T,Lycée Saint-Louis De Gonzague,Privé sous contrat d'association,Paris,Ile-de-France,Paris 16e  Arrondissement,"48.85951, 2.2853",CPGE - ECG,CPGE,ECG - Mathématiques appliquées + ESH,-0.21739130434782608,1.0943791946308725,-0.41220338983050847,0.28217890393928824,0.6216216216216216,-0.525890929576471,-0.6193435740346434,-0.4615384615384615,0.3330622640706386,0.585936626861752,-0.1425294040573963,0.0,0.0,0.0,0.0,0.7302614270013774,0.0,0.0,0.0,-0.6333333333333332,-1.048543689320388,1.6000000000000003,1.7500000000000002,-1.026315789473684,0.07843137254901968,-1.2523909162380118,-0.6405854982332333,-1.0700000000000003,0.2432274659068053,-0.022829667013042048
0800009A,Lycée Louis Thuillier,Public,Somme,Hauts-de-France,Amiens,"49.8758, 2.29689",CPGE - MPSI,CPGE,MPSI,0.13043478260869565,0.059983221476510064,0.7538983050847458,-0.7249028795823359,-0.4054054054054055,0.2590894132182095,0.6380346652807891,0.5384615384615384,-0.4278291938885558,0.1912934067423561,-0.23294694856958795,0.0,0.0,0.0,0.0,0.14337714488638273,0.0,0.0,0.375,-0.03333333333333336,0.3495145631067962,0.08571428571428572,0.75,-0.10526315789473664,0.15686274509803924,0.791939857957183,0.009093549329571541,-0.0900000000000001,0.5250663837988857,-0.01939603295281441
0440021J,Lycée général Clemenceau,Public,Loire-Atlantique,Pays-de-la-Loire,Nantes,"47.2189, -1.5448",CPGE - ECG -  - Mathématiques approfondies + HGG,CPGE,ECG - Mathématiques approfondies + HGG,0.13043478260869565,-0.23280201342281878,0.2983050847457627,-0.18192626283833108,0.21621621621621612,-0.43640541918306064,-0.5877602041949536,-0.5384615384615385,0.903965659882296,0.2242890957800558,-0.12003947372503049,0.0,0.0,0.0,0.0,0.19244589936269524,0.0,0.0,0.25,-0.3999999999999999,1.203883495145631,-0.08571428571428572,0.0,0.10526315789473693,0.39215686274509803,0.9774374400179225,0.5250204815195756,0.11000000000000011,-0.21174871912200233,-1.1575287018774632
0440161L,Lycée St Joseph du Loquidy,Privé sous contrat d'association,Loire-Atlantique,Pays-de-la-Loire,Nantes,"47.2369, -1.55764",CPGE - ECG,CPGE,ECG - Mathématiques approfondies + ESH,-0.4782608695652174,-0.48447986577181207,-0.30915254237288137,-0.016157733043422415,-0.10810810810810821,0.43508285105588684,-1.0765038920652061,0.0,-1.1458256871339,-0.2970095462078287,-0.46458520641687484,0.0,0.0,0.0,0.0,-0.582790982137565,0.0,0.0,2.625,0.2333333333333333,0.23300970873786406,-0.5142857142857143,0.0,-0.18421052631578935,-0.07843137254901957,0.7291573210972648,0.8700491049467988,0.6900000000000001,-0.20675693476708634,-1.1613326588518655
